GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JPA Search,jpasearch.repository.query.selector,TermSelector,168,0,10,0,45,0,23,0,18,0
JPA Search,jpasearch.repository.query.selector,Selectors,40,24,2,0,10,8,4,4,3,4
JPA Search,jpasearch.repository.query.selector,PropertySelector,176,68,8,2,42,20,24,10,19,10
JPA Search,jpasearch.repository.query.selector,Range,200,0,20,0,59,0,38,0,28,0
JPA Search,jpasearch.repository.util,ByFullTextUtil,89,11,14,0,21,5,10,3,3,3
JPA Search,jpasearch.repository.util,ByRangeUtil,107,3,22,0,24,1,13,1,2,1
JPA Search,jpasearch.repository.util,HibernateSearchUtil,127,15,6,0,22,6,5,4,2,4
JPA Search,jpasearch.repository.util,DefaultLuceneQueryBuilder,176,3,22,0,33,1,12,1,1,1
JPA Search,jpasearch.repository.util,MetamodelUtil,157,110,21,5,40,21,17,8,6,6
JPA Search,jpasearch.repository.util,OrderByUtil,26,19,3,1,3,6,2,3,0,3
JPA Search,jpasearch.repository.util,ByPropertySelectorUtil,421,115,50,10,80,27,33,6,4,5
JPA Search,jpasearch.repository.util,JpaUtil.new Object() {...},5,35,0,0,0,1,0,1,0,1
JPA Search,jpasearch.repository.util,JpaUtil,187,126,33,17,34,32,27,11,1,10
JPA Search,jpasearch.repository.util,BySelectorUtil,43,68,7,5,6,18,5,8,0,7
JPA Search,jpasearch.repository,JpaGenericRepository,286,145,22,2,61,34,22,12,10,12
JPA Search,jpasearch.repository,JpaSimpleRepository,31,26,0,0,7,8,3,3,3,3
JPA Search,jpasearch.repository.query,OrderByDirection,38,0,0,0,2,0,4,0,4,0
JPA Search,jpasearch.repository.query,OrderBy,93,0,14,0,27,0,14,0,7,0
JPA Search,jpasearch.repository.query,SearchBuilder,158,71,0,0,29,17,16,10,16,10
JPA Search,jpasearch.repository.query,SearchParameters,3,52,0,0,1,15,1,7,1,7
JPA Search,jpasearch.repository.query,Path,122,20,10,0,21,7,13,3,8,3
JPA Search,jpasearch.repository.query,SearchMode,33,71,4,0,5,9,5,3,3,3
JPA Search,jpasearch.repository.query.builder,SelectorsBuilder,32,27,0,0,6,7,4,4,4,4
JPA Search,jpasearch.repository.query.builder,OrderByBuilder,80,0,0,0,20,0,8,0,8,0
JPA Search,jpasearch.repository.query.builder,FetchBuilder,72,0,0,0,19,0,7,0,7,0
JPA Search,jpasearch.repository.query.builder,AbstractBuilder,0,9,0,0,0,4,0,2,0,2
JPA Search,jpasearch.repository.query.builder,OrdersByBuilder,56,13,0,0,11,4,6,2,6,2
JPA Search,jpasearch.repository.query.builder,DisjunctionSelectorsBuilder,28,0,0,0,9,0,5,0,5,0
JPA Search,jpasearch.repository.query.builder,RootSelectorsBuilder,23,11,0,0,6,4,3,3,3,3
JPA Search,jpasearch.repository.query.builder,TermSelectorBuilder,29,0,0,0,8,0,3,0,3,0
JPA Search,jpasearch.repository.query.builder,SelectorBuilder,135,24,0,0,24,5,12,2,12,2
JPA Search,jpasearch.repository.query.builder,PaginationBuilder,20,16,0,0,8,6,3,3,3,3
JPA Search,jpasearch.repository.query.builder,ConjunctionSelectorsBuilder,28,0,0,0,9,0,5,0,5,0
JPA Search,jpasearch.repository.query.builder,FetchesBuilder,29,13,0,0,7,4,4,2,4,2
